Type;Name;Required?;Description
I/O;--ref REF;Yes;Path to the reference file.
I/O;--out-vcf OUT_VCF;Yes;Path of the VCF file after Variant Calling. (Allowed: .vcf, .vcf.gz)
I/O;--in-tumor-bam IN_TUMOR_BAM;Yes;Path of the BAM/CRAM file for tumor reads.
I/O;--in-normal-bam IN_NORMAL_BAM;No;Path of the BAM/CRAM file for normal reads.
I/O;--in-tumor-recal-file IN_TUMOR_RECAL_FILE;No;Path of the report file after Base Quality Score Recalibration for tumor sample.
I/O;--in-normal-recal-file IN_NORMAL_RECAL_FILE;No;Path of the report file after Base Quality Score Recalibration for normal sample.
I/O;--interval-file INTERVAL_FILE;No;Path to an interval file in one of these formats: Picard-style (.interval_list or .picard), GATK-style (.list or .intervals), or BED file (.bed). This option can be used multiple times.
I/O;--mutect-bam-output MUTECT_BAM_OUTPUT;No;File to which assembled haplotypes should be written. If passing with --run-partition, multiple BAM files will be written.
I/O;--pon PON;No;Path of the vcf.gz PON file. Make sure you run prepon first and there is a '.pon' file already.
I/O;--mutect-germline-resource MUTECT_GERMLINE_RESOURCE;No;Path of the vcf.gz germline resource file. Population VCF of germline sequencing containing allele fractions.
I/O;--mutect-f1r2-tar-gz MUTECT_F1R2_TAR_GZ;No;Path of the tar.gz of collecting F1R2 counts.
I/O;--mutect-alleles MUTECT_ALLELES;No;Path of the vcf.gz force-call file. The set of alleles to force-call regardless of evidence.
Tool;--max-mnp-distance MAX_MNP_DISTANCE;No;Two or more phased substitutions separated by this distance or less are merged into MNPs. (default: 1)
Tool;--mutectcaller-options MUTECTCALLER_OPTIONS;No;"Pass supported mutectcaller options as one string. The following are currently supported original mutectcaller options: -pcr-indel-model <NONE, HOSTILE, AGGRESSIVE, CONSERVATIVE>, -max-reads-per-alignment-start <int>, -A <AssemblyComplexity>, -min-dangling-branch-length <int> (e.g. --mutectcaller-options=""-pcr-indel-model HOSTILE -max-reads-per-alignment-start 30"")."
Tool;--initial-tumor-lod INITIAL_TUMOR_LOD;No;Log 10 odds threshold to consider pileup active.
Tool;--tumor-lod-to-emit TUMOR_LOD_TO_EMIT;No;Log 10 odds threshold to emit variant to VCF.
Tool;--pruning-lod-threshold PRUNING_LOD_THRESHOLD;No;Ln likelihood ratio threshold for adaptive pruning algorithm.
Tool;--active-probability-threshold ACTIVE_PROBABILITY_THRESHOLD;No;Minimum probability for a locus to be considered active.
Tool;--no-alt-contigs;No;Ignore commonly known alternate contigs.
Tool;--genotype-germline-sites;No;Call all apparent germline site even though they will ultimately be filtered.
Tool;--genotype-pon-sites;No;Call sites in the PoN even though they will ultimately be filtered.
Tool;--force-call-filtered-alleles;No;Force-call filtered alleles included in the resource specified by --alleles.
